heure	temps (minutes), Pos (y)	Position Relative (y)	Pos	(z)	Position Relative (z)
10:47:00	0	27,45	0	25,37	0
10:49:00	2	28,4	0,95	26,1	0,73
10:51:30	4,5	29,4	1,95	27	1,63
10:53:30	6,5	29,9	2,45	27,26	1,89
10:55:30	8,5	31,1	3,65	28	2,63
10:58:00	11	31,75	4,3	28,42	3,05
11:00:00	13	32,7	5,25	28,8	3,43
11:02:30	15,5	33,75	6,3	29,2	3,83
11:08:00	21	35,5	8,05	30	4,63
11:10:30	23,5	36,1	8,65	30,2	4,83
11:12:00	25	36,8	9,35	30,4	5,03
11:14:00	27	37,5	10,05	30,6	5,23
11:16:00	29	38	10,55	30,8	5,43




heure	temps (minutes), Pos (y)	Position Relative (y)	Pos	(z)	Position Relative (z)
16:16:06	00:00:00	24,457	 0	26,319	0
16:25:24	00:09:18	24,445	-0,012	26,492	0,173
16:25:58	00:09:52	24,349	-0,108	26,467	0,148
16:26:29	00:10:23	24,299	-0,158	26,345	0,026
16:27:00	00:10:54	24,169	-0,288	26,345	0,026
16:29:36	00:13:30	23,992	-0,465	26,299	-0,02





heure	temps (minutes), Pos (y)	Position Relative (y)	Pos	(z)	Position Relative (z)
09:30:16	0	28,153	0	25,736	0
09:32:06	1,8333333333	28,218	0,065	25,729	-0,007
09:34:43	4,45	28,277	0,124	25,716	-0,02
09:36:53	6,6166666667	28,417	0,264	25,765	0,029
09:39:39	9,3833333333	28,468	0,315	25,781	0,045
09:42:21	12,0833333333	28,572	0,419	25,784	0,048
10:14:05	43,8166666667	29,212	1,059	25,876	0,14
10:19:56	49,6666666667	29,183	1,03	25,867	0,131
10:26:23	56,1166666667	29,371	1,218	25,901	0,165
10:35:46	65,5	29,67	1,517	25,963	0,227
